1485k  1.70.35.224:8084
1469k  1.70.35.224:8082
1365k  1.70.35.224:8083
1321k  1.70.35.224:8085
1044k  223.10.39.207:8082
1042k  110.178.77.222:8084
1033k  110.178.77.222:8082
1032k  110.178.77.222:8083
1023k  223.10.39.207:8083
993k  110.177.98.238:8082
984k  1.70.32.90:8084
967k  110.177.111.128:8082
965k  110.177.98.238:8083
949k  1.70.34.117:8085
949k  1.70.34.117:8082
943k  1.70.32.90:8085
934k  110.177.111.128:8083
927k  1.70.32.90:8082
915k  1.70.34.117:8084
906k  1.70.32.90:8083
883k  1.70.34.117:8083
833k  1.70.34.16:8082
812k  1.70.34.84:8082
765k  110.178.53.35:8085
608k  110.178.53.35:8082
562k  110.178.53.35:8084
561k  110.178.53.35:8083
513k  110.179.80.56:8082
